,Year,Ceremony,Award,Winner,Name,Film
258,1933,6,Sound Recording,0,Gold Diggers of 1933 ,"Warner Brothers Studio Sound Department, Nathan Levinson, Sound Director [Third]"
259,1933,6,Sound Recording,0,I Am a Fugitive from a Chain Gang ,"Warner Brothers Studio Sound Department, Nathan Levinson, Sound Director [Second]"
260,1933,6,Writing (Adapted Screenplay),0,Robert Riskin [Second],Lady for a Day 
261,1933,6,Writing (Adapted Screenplay),1,"Victor Heerman, Sarah Y. Mason",Little Women 
262,1933,6,Writing (Adapted Screenplay),0,"Paul Green, Sonya Levien [Third]",State Fair 
263,1933,6,Writing (Original Story),1,One Way Passage ,Robert Lord
264,1933,6,Writing (Original Story),0,The Prizefighter and the Lady ,Frances Marion [Second]
265,1933,6,Writing (Original Story),0,Rasputin and the Empress ,Charles MacArthur [Third]
266,1934,7,Actor in a Leading Role,1,Clark Gable,It Happened One Night
267,1934,7,Actor in a Leading Role,0,Frank Morgan,The Affairs of Cellini
268,1934,7,Actor in a Leading Role,0,William Powell,The Thin Man
269,1934,7,Actress in a Leading Role,1,Claudette Colbert,It Happened One Night
270,1934,7,Actress in a Leading Role,0,Bette Davis,Of Human Bondage
271,1934,7,Actress in a Leading Role,0,Grace Moore,One Night of Love
272,1934,7,Actress in a Leading Role,0,Norma Shearer,The Barretts of Wimpole Street
273,1934,7,Art Direction,0,The Affairs of Cellini ,Richard Day [Third]
274,1934,7,Art Direction,0,The Gay Divorcee ,"Van Nest Polglase, Carroll Clark [Second]"
275,1934,7,Art Direction,1,The Merry Widow ,"Cedric Gibbons, Fredric Hope"
276,1934,7,Assistant Director,0,Cleopatra ,Cullen Tate [Second]
277,1934,7,Assistant Director,0,Imitation of Life ,Scott Beal [Third]
278,1934,7,Assistant Director,1,Viva Villa! ,John Waters
279,1934,7,Cinematography,0,The Affairs of Cellini ,Charles Rosher [Third]
280,1934,7,Cinematography,1,Cleopatra ,Victor Milner
281,1934,7,Cinematography,0,Operator 13 ,George Folsey [Second]
282,1934,7,Director,1,Frank Capra,It Happened One Night 
283,1934,7,Director,0,Victor Schertzinger [Third],One Night of Love 
284,1934,7,Director,0,W. S. Van Dyke [Second],The Thin Man 
285,1934,7,Film Editing,0,Cleopatra ,Anne Bauchens [Third]
286,1934,7,Film Editing,1,Eskimo ,Conrad Nervig
287,1934,7,Film Editing,0,One Night of Love ,Gene Milford [Second]
288,1934,7,Music (Original Score),0,The Gay Divorcee ,"RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Kenneth Webb and Samuel Hoffenstein) [Second]"
289,1934,7,Music (Original Score),0,The Lost Patrol ,"RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Max Steiner) [Third]"
290,1934,7,Music (Original Score),1,One Night of Love ,"Columbia Studio Music Department, Louis Silvers, head of department  (Thematic Music by Victor Schertzinger and Gus Kahn)"
291,1934,7,Music (Song),0,"""Carioca"" from Flying Down to Rio",Music by Vincent Youmans; Lyrics by Edward Eliscu and Gus Kahn [Third]
292,1934,7,Music (Song),1,"""The Continental"" from The Gay Divorcee",Music by Con Conrad; Lyrics by Herb Magidson
293,1934,7,Music (Song),0,"""Love In Bloom"" from She Loves Me Not",Music by Ralph Rainger; Lyrics by Leo Robin [Second]
294,1934,7,Best Picture,0,Metro-Goldwyn-Mayer [Second],The Barretts of Wimpole Street 
295,1934,7,Best Picture,0,Paramount,Cleopatra 
296,1934,7,Best Picture,0,First National,Flirtation Walk 
297,1934,7,Best Picture,0,RKO Radio,The Gay Divorcee 
298,1934,7,Best Picture,0,Warner Brothers,Here Comes the Navy 
299,1934,7,Best Picture,0,20th Century [Third],The House of Rothschild 
300,1934,7,Best Picture,0,Universal,Imitation of Life 
301,1934,7,Best Picture,1,Columbia,It Happened One Night 
302,1934,7,Best Picture,0,Columbia,One Night of Love 
303,1934,7,Best Picture,0,Metro-Goldwyn-Mayer,The Thin Man 
304,1934,7,Best Picture,0,Metro-Goldwyn-Mayer,Viva Villa! 
305,1934,7,Best Picture,0,Jesse L. Lasky (production company),The White Parade 
306,1934,7,Short Subject (Cartoon),0,Holiday Land ,"Charles Mintz, Producer [Third]"
307,1934,7,Short Subject (Cartoon),0,Jolly Little Elves ,"Walter Lantz, Producer [Second]"
308,1934,7,Short Subject (Cartoon),1,The Tortoise and the Hare ,"Walt Disney, Producer"
309,1934,7,Short Subject (Comedy),1,La Cucaracha ,"Kenneth Macgowan, Producer"
310,1934,7,Short Subject (Comedy),0,Men in Black ,"Jules White, Producer [Third]"
311,1934,7,Short Subject (Comedy),0,"What, No Men! ",Warner Brothers [Second]
312,1934,7,Short Subject (Novelty),0,Bosom Friends ,Skibo Productions [Third]
313,1934,7,Short Subject (Novelty),1,City of Wax ,"Stacy Woodard and Horace Woodard, Producers"
314,1934,7,Short Subject (Novelty),0,Strikes and Spares ,"Pete Smith, Producer [Second]"
315,1934,7,Sound Recording,0,The Affairs of Cellini ,"United Artists Studio Sound Department, Thomas T. Moulton, Sound Director"
316,1934,7,Sound Recording,0,Cleopatra ,"Paramount Studio Sound Department, Franklin B. Hansen, Sound Director"
317,1934,7,Sound Recording,0,Flirtation Walk ,"Warner Brothers-First National Studio Sound Department, Nathan Levinson, Sound Director [Second]"
318,1934,7,Sound Recording,0,The Gay Divorcee ,"RKO Radio Studio Sound Department, Carl Dreher, Sound Director [Third]"
319,1934,7,Sound Recording,0,Imitation of Life ,"Universal Studio Sound Department, Theodore Soderberg, Sound Director"
320,1934,7,Sound Recording,1,One Night of Love ,"Columbia Studio Sound Department, John Livadary, Sound Director"
321,1934,7,Sound Recording,0,Viva Villa! ,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director"
322,1934,7,Sound Recording,0,The White Parade ,"Fox Studio Sound Department, E. H. Hansen, Sound Director"
323,1934,7,Writing (Adapted Screenplay),1,Robert Riskin,It Happened One Night 
324,1934,7,Writing (Adapted Screenplay),0,"Frances Goodrich, Albert Hackett [Second]",The Thin Man 
325,1934,7,Writing (Adapted Screenplay),0,Ben Hecht [Third],Viva Villa! 
326,1934,7,Writing (Original Story),0,Hide-Out ,Mauri Grashin [Third]
327,1934,7,Writing (Original Story),1,Manhattan Melodrama ,Arthur Caesar
328,1934,7,Writing (Original Story),0,The Richest Girl in the World ,Norman Krasna [Second]
329,1934,7,Special Award,1,Shirley Temple,
330,1935,8,Actor in a Leading Role,0,Clark Gable,Mutiny on the Bounty
331,1935,8,Actor in a Leading Role,0,Charles Laughton,Mutiny on the Bounty
332,1935,8,Actor in a Leading Role,1,Victor McLaglen,The Informer
333,1935,8,Actor in a Leading Role,0,Paul Muni,Black Fury
334,1935,8,Actor in a Leading Role,0,Franchot Tone,Mutiny on the Bounty
335,1935,8,Actress in a Leading Role,0,Elisabeth Bergner,Escape Me Never
336,1935,8,Actress in a Leading Role,0,Claudette Colbert,Private Worlds
337,1935,8,Actress in a Leading Role,1,Bette Davis,Dangerous
338,1935,8,Actress in a Leading Role,0,Katharine Hepburn,Alice Adams
339,1935,8,Actress in a Leading Role,0,Miriam Hopkins,Becky Sharp
340,1935,8,Actress in a Leading Role,0,Merle Oberon,The Dark Angel
341,1935,8,Art Direction,1,The Dark Angel ,Richard Day
342,1935,8,Art Direction,0,The Lives of a Bengal Lancer ,"Hans Dreier, Roland Anderson [Third]"
343,1935,8,Art Direction,0,Top Hat ,"Van Nest Polglase, Carroll Clark [Second]"
344,1935,8,Assistant Director,0,David Copperfield ,Joseph Newman [Third]
345,1935,8,Assistant Director,0,Les Miserables ,Eric Stacey
346,1935,8,Assistant Director,1,The Lives of a Bengal Lancer ,"Clem Beauchamp, Paul Wing"
347,1935,8,Assistant Director,0,A Midsummer Night's Dream ,Sherry Shourds [Second]
348,1935,8,Cinematography,0,Barbary Coast ,Ray June
349,1935,8,Cinematography,0,The Crusades ,Victor Milner [Third]
350,1935,8,Cinematography,0,Les Miserables ,Gregg Toland [Second]
351,1935,8,Cinematography,1,A Midsummer Night's Dream ,Hal Mohr
352,1935,8,Dance Direction,0,Busby Berkeley,Lullaby of Broadway and The Words Are In My Heart numbers from Gold Diggers of 1935 [Third]
353,1935,8,Dance Direction,0,Bobby Connolly,Latin from Manhattan number from Go into Your Dance
354,1935,8,Dance Direction,0,Bobby Connolly,Latin from Manhattan number from Go into Your Dance; and Playboy from Paree number from Broadway Hostess
355,1935,8,Dance Direction,1,Dave Gould,I've Got a Feeling You're Fooling number from Broadway Melody of 1936; and Straw Hat number from Folies Bergere
356,1935,8,Dance Direction,0,Sammy Lee,Lovely Lady and Too Good To Be True numbers from King of Burlesque
357,1935,8,Dance Direction,0,Hermes Pan,"Piccolino and Top Hat, White Tie, and Tails numbers from Top Hat [Second]"
358,1935,8,Dance Direction,0,LeRoy Prinz,It's the Animal in Me number from Big Broadcast of 1936; and Viennese Waltz number from All the King's Horses
359,1935,8,Dance Direction,0,Benjamin Zemach,Hall of Kings number from She
360,1935,8,Director,0,Michael Curtiz [Second],Captain Blood 
361,1935,8,Director,1,John Ford,The Informer 
